plot_id,drive_file_id,drive_title,drive_size_bytes,source_folder,folder_date_iso,folder_date_status
87-VSD,1UcIeBZLBPNqOrDtdhjBRkmLny_Uyxxmo,87-VSD Image.tif,6203106354,25-12-2567,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE
91-STC,1WCTYAshsByl92BSsei3Qie1h95Uqqn1g,91-STC.tif,1252277898,25-12-2567,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE
92-STC,1tAzulbMfQewiB6ukuh3kDfpKIF_llams,92-STC Image.tif,3395885120,25-12-2567,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE
93-STC,1CoekWHruzqvRtWYHtNlF5ZCXPsh4HgkA,93-STC.tif,486664764,25-12-2567,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE
94-STC,1ZCK1iApfILDGU0EqViOXqeSYdgMMEl24,94 stc 2.tif,1551437558,25-12-2567,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE
95-STC,1p0XV4l8dldKWeLa1rWefPbYqvgZApp2O,95 stc.tif,99435384,25-12-2567,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE
96-STC,1boyGxi0ykVf9ac9tRoZsCYJhvarqNVPN,96 stc.tif,479073764,25-12-2567,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE
97-STC,1EX80BASMRr31KRt1ceh6vUT7-XkzDpM6,97 stc.tif,75535494,25-12-2567,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE
98-STC,1paHQM-DskSoX9RMcQdaBcOIOEH-TCMG9,98-STC.tif,839213726,25-12-2567,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE
