dataset,scene_id,sensor,acquisition_datetime_utc,acquisition_datetime_bangkok,cloud_cover_scene,cloud_cover_aoi,tide_station,tide_level,tide_datum,tide_status,source_url,source_license,crs,resolution_m,bands,local_path,file_size_bytes,sha256,selection_reason,qa_status
sentinel2,S2B_47PQQ_20180206_0_L2A,sentinel-2b,2018-02-06T03:51:48.267000Z,2018-02-06T10:51:48.267000+07:00,0.1648,0.7614,,,,unverified,https://earth-search.aws.element84.com/v1/collections/sentinel-2-l2a/items/S2B_47PQQ_20180206_0_L2A,"Copernicus Sentinel Data Legal Notice - free, full and open access",EPSG:32647,10/20,B2;B3;B4;B8;B5;B6;B7;B8A;B11;B12;SCL,data/satellite/sentinel2/2018/S2B_47PQQ_20180206_0_L2A/B2_10m.tif;data/satellite/sentinel2/2018/S2B_47PQQ_20180206_0_L2A/B3_10m.tif;data/satellite/sentinel2/2018/S2B_47PQQ_20180206_0_L2A/B4_10m.tif;data/satellite/sentinel2/2018/S2B_47PQQ_20180206_0_L2A/B8_10m.tif;data/satellite/sentinel2/2018/S2B_47PQQ_20180206_0_L2A/B5_20m.tif;data/satellite/sentinel2/2018/S2B_47PQQ_20180206_0_L2A/B6_20m.tif;data/satellite/sentinel2/2018/S2B_47PQQ_20180206_0_L2A/B7_20m.tif;data/satellite/sentinel2/2018/S2B_47PQQ_20180206_0_L2A/B8A_20m.tif;data/satellite/sentinel2/2018/S2B_47PQQ_20180206_0_L2A/B11_20m.tif;data/satellite/sentinel2/2018/S2B_47PQQ_20180206_0_L2A/B12_20m.tif;data/satellite/sentinel2/2018/S2B_47PQQ_20180206_0_L2A/SCL_20m.tif,16162345,B2_10m.tif:875244f1a04df32d0596979e3cefd8ea0365614f140a5405e23e2df36035d003;B3_10m.tif:123edb66dbd5f40010bc19c4af0461dfb5261d456a5d12269b0719981ad97e86;B4_10m.tif:bccd18d396510352f58572ece3317791fce9be2626885855c8e07211b14f2de0;B8_10m.tif:a43f52ed48ee44ee2639c0030c77b5994c728ee12602d17a560b69af62977b3a;B5_20m.tif:f6a2d6575a44ba5017d0b663ce94b4998a70a5375ccb9b8ec899547b48c856ee;B6_20m.tif:021b2e9810393642f3fd2245d54e06037c558468b12fed2de22a9b3f9b2e7975;B7_20m.tif:f6da0526ae1e860acf2bc9067a0d6cb5b5e595706bb73b34ac4103b34f94c6b6;B8A_20m.tif:d9c40cf7fc98b2e300f1bf60a27aab3475528e331b3288d2c2f519e3d932992f;B11_20m.tif:acf0661c343acead5a09b39f030ec4925f7524298a04a228cc9d89618de123bf;B12_20m.tif:a57562799d819acfc309e344ace95acec12a1622ce5541c7d812cdc73abe9ef1;SCL_20m.tif:0e4c710569a151f2e647314a2267622326bc068ec38ebbf2362d07323a008522,provider=Element 84 Earth Search; yearly paginated STAC search; AOI coverage=1.000; dry/same-season preference; AOI bad-quality=0.76%,downloaded-pending-raster-validation
sentinel2,S2B_47PQQ_20211227_0_L2A,sentinel-2b,2021-12-27T03:54:32.846000Z,2021-12-27T10:54:32.846000+07:00,0.5172,0.5891,,,,unverified,https://earth-search.aws.element84.com/v1/collections/sentinel-2-l2a/items/S2B_47PQQ_20211227_0_L2A,"Copernicus Sentinel Data Legal Notice - free, full and open access",EPSG:32647,10/20,B2;B3;B4;B8;B5;B6;B7;B8A;B11;B12;SCL,data/satellite/sentinel2/2021/S2B_47PQQ_20211227_0_L2A/B2_10m.tif;data/satellite/sentinel2/2021/S2B_47PQQ_20211227_0_L2A/B3_10m.tif;data/satellite/sentinel2/2021/S2B_47PQQ_20211227_0_L2A/B4_10m.tif;data/satellite/sentinel2/2021/S2B_47PQQ_20211227_0_L2A/B8_10m.tif;data/satellite/sentinel2/2021/S2B_47PQQ_20211227_0_L2A/B5_20m.tif;data/satellite/sentinel2/2021/S2B_47PQQ_20211227_0_L2A/B6_20m.tif;data/satellite/sentinel2/2021/S2B_47PQQ_20211227_0_L2A/B7_20m.tif;data/satellite/sentinel2/2021/S2B_47PQQ_20211227_0_L2A/B8A_20m.tif;data/satellite/sentinel2/2021/S2B_47PQQ_20211227_0_L2A/B11_20m.tif;data/satellite/sentinel2/2021/S2B_47PQQ_20211227_0_L2A/B12_20m.tif;data/satellite/sentinel2/2021/S2B_47PQQ_20211227_0_L2A/SCL_20m.tif,16421280,B2_10m.tif:dbc5cc0a1e41df792328cae85a60c4b378879b981c6d9476c03a9cf1398ff892;B3_10m.tif:aaeae4a1e1040da9a1f2c89f36a6e7ed07c5752539c0e8435c22f7c5e6ed9b82;B4_10m.tif:f00ff8f6c283a7d816f34cdd6b4ff612b2601b7579f6b7bb36ef3b9b70f268d7;B8_10m.tif:9b31a0943eae4eeadf0e87a38e2c240c1dc98f6321ceabb86bd255a843552447;B5_20m.tif:fafd2aa07c96ac50a794a1d1dc35142d725e83bdb599b6a3b34ac9bdaf4a5112;B6_20m.tif:677a044aec21a44ddc03545c345a1d4308ca4088a9c525e5bcd97fea2a3e58ae;B7_20m.tif:dbacdb0652e0f934873a5e3e3c6742c781b3a7c3f69849655e14e7989338e48a;B8A_20m.tif:6972981fd126fcd1d82c6daa7b0d379e9b41634b37a125ceeea55ec8e7b0deb8;B11_20m.tif:a53896e95f3d51bfce5aa079164f032eb7277ff448462abdcad0cc3d5eacbe8e;B12_20m.tif:c6ff374dcb11b2cc82d889540f438b183498de393b26ddb6fcd9ba18aa13f8d1;SCL_20m.tif:6b861f4a0d44d39c97a9fab7298c415d09ca19e55010c5fe35c873c9dc7aa68b,provider=Element 84 Earth Search; yearly paginated STAC search; AOI coverage=1.000; dry/same-season preference; AOI bad-quality=0.59%,downloaded-pending-raster-validation
sentinel2,S2B_47PQQ_20250209_0_L2A,sentinel-2b,2025-02-09T03:54:39.827000Z,2025-02-09T10:54:39.827000+07:00,0.0267,0.0023,,,,unverified,https://earth-search.aws.element84.com/v1/collections/sentinel-2-l2a/items/S2B_47PQQ_20250209_0_L2A,"Copernicus Sentinel Data Legal Notice - free, full and open access",EPSG:32647,10/20,B2;B3;B4;B8;B5;B6;B7;B8A;B11;B12;SCL,data/satellite/sentinel2/2025/S2B_47PQQ_20250209_0_L2A/B2_10m.tif;data/satellite/sentinel2/2025/S2B_47PQQ_20250209_0_L2A/B3_10m.tif;data/satellite/sentinel2/2025/S2B_47PQQ_20250209_0_L2A/B4_10m.tif;data/satellite/sentinel2/2025/S2B_47PQQ_20250209_0_L2A/B8_10m.tif;data/satellite/sentinel2/2025/S2B_47PQQ_20250209_0_L2A/B5_20m.tif;data/satellite/sentinel2/2025/S2B_47PQQ_20250209_0_L2A/B6_20m.tif;data/satellite/sentinel2/2025/S2B_47PQQ_20250209_0_L2A/B7_20m.tif;data/satellite/sentinel2/2025/S2B_47PQQ_20250209_0_L2A/B8A_20m.tif;data/satellite/sentinel2/2025/S2B_47PQQ_20250209_0_L2A/B11_20m.tif;data/satellite/sentinel2/2025/S2B_47PQQ_20250209_0_L2A/B12_20m.tif;data/satellite/sentinel2/2025/S2B_47PQQ_20250209_0_L2A/SCL_20m.tif,16385780,B2_10m.tif:31433949c815ab8ec555797452cd95004a73994f3f6832828ef09974559a7ea2;B3_10m.tif:c5a70c721bff40bd5585cf5d357b484669158397a56864240a7c1250e1dcc0a4;B4_10m.tif:c99eafe27f6427050b3fcae987b2efb50f21cc146fb2393ba6cca5ad9eb3545c;B8_10m.tif:6e2c49f67219d1c5b9a85bb8479a116d1c373b598fd5dd05317ebd611622560f;B5_20m.tif:3a132fa77d2a3ce02fc47cbf7809d90cf1f152dbac6efd69a383c11e84f1f1d6;B6_20m.tif:2209e083c1d269e819256ed30c7d3b183e6e7e2b4dbabf303dc39632a3e350a9;B7_20m.tif:531a0a38964264e8d42fe6174dbe6db6376998fd1093973a31c81b3e073485c1;B8A_20m.tif:20673677bab39e56ac60982a48e6996a69282ac469a8121f82cb4ce436384e1f;B11_20m.tif:83fd7876b9b8faef68d709f5195dc3dff825e91cee1456ebee83515c43d2d356;B12_20m.tif:83bebd5d08f226480acab1641ebc57b6259543afe4dbaff570d3f03f61fa1ce5;SCL_20m.tif:04f186f3b9b7ca239d458766098ba1c124833d1b7b262b4dd4dc4b352da53b7d,provider=Element 84 Earth Search; yearly paginated STAC search; AOI coverage=1.000; dry/same-season preference; AOI bad-quality=0.00%,downloaded-pending-raster-validation
sentinel2,S2C_47PQQ_20251221_0_L2A,sentinel-2c,2025-12-21T03:54:44.824000Z,2025-12-21T10:54:44.824000+07:00,1.6783,0.0000,,,,unverified,https://earth-search.aws.element84.com/v1/collections/sentinel-2-l2a/items/S2C_47PQQ_20251221_0_L2A,"Copernicus Sentinel Data Legal Notice - free, full and open access",EPSG:32647,10/20,B2;B3;B4;B8;B5;B6;B7;B8A;B11;B12;SCL,data/satellite/sentinel2/2025/S2C_47PQQ_20251221_0_L2A/B2_10m.tif;data/satellite/sentinel2/2025/S2C_47PQQ_20251221_0_L2A/B3_10m.tif;data/satellite/sentinel2/2025/S2C_47PQQ_20251221_0_L2A/B4_10m.tif;data/satellite/sentinel2/2025/S2C_47PQQ_20251221_0_L2A/B8_10m.tif;data/satellite/sentinel2/2025/S2C_47PQQ_20251221_0_L2A/B5_20m.tif;data/satellite/sentinel2/2025/S2C_47PQQ_20251221_0_L2A/B6_20m.tif;data/satellite/sentinel2/2025/S2C_47PQQ_20251221_0_L2A/B7_20m.tif;data/satellite/sentinel2/2025/S2C_47PQQ_20251221_0_L2A/B8A_20m.tif;data/satellite/sentinel2/2025/S2C_47PQQ_20251221_0_L2A/B11_20m.tif;data/satellite/sentinel2/2025/S2C_47PQQ_20251221_0_L2A/B12_20m.tif;data/satellite/sentinel2/2025/S2C_47PQQ_20251221_0_L2A/SCL_20m.tif,16370808,B2_10m.tif:2fb3a58485cb6e3f546d9828e0bfbcaeb76770f12a2ccff9798d8baeb79499e9;B3_10m.tif:ab2b4f2e095d711afa0ae5ad302ab33ff9c92c320eaec5e072c9011610c60f2b;B4_10m.tif:08d3ba74da1a0ef2eabfb36509274a7068cb17f6449c324d29267ffc36ca0f78;B8_10m.tif:bfdf698ec40d6a805c8e405af3a14a23ef776492cfc2aad5b6b3e173cf58db05;B5_20m.tif:7f21a6dadd99877d696d28d28f03af7a67b939e63aeb482df4e52774f7acffbc;B6_20m.tif:eee0796f0e5c22cb967d8128816cb97cec19cdb3945a01f4c6c45734e734fe58;B7_20m.tif:a8b5bff518b14d66511ff5a064ad985db954d70e1f2cc1a5dee5457df3acc02f;B8A_20m.tif:a481ee4e00ce779e2ef33fe1b6a3b04cf64e0337c760d39da8f1affc675af68c;B11_20m.tif:8b82528758e858e56eae678f0e09f92ed6c3529ecf9e17a91017843c72042520;B12_20m.tif:dc7a2674a664a94f22aa01b00f42c98453a0614c350a43488637d617ce35ea1e;SCL_20m.tif:0e1c725235c709e2a8663eb495ddfb7899dc0cbf05d311acc912e0a5f355c0a2,provider=Element 84 Earth Search; yearly paginated STAC search; AOI coverage=1.000; dry/same-season preference; AOI bad-quality=0.00%,downloaded-pending-raster-validation
