plot_id,drive_title,drive_file_id,size_bytes,crs,width_px,height_px,band_count,mean_gsd_cm,bbox_plot_coverage_fraction,plot_valid_image_fraction,georeference_status,analysis_readiness,folder_date_iso,folder_date_status,flight_date_verified,verified_planting_completion_date,provisional_days_from_completion,provisional_planting_phase,nearest_sentinel2_date,nearest_sentinel2_year,nearest_sentinel2_day_gap,nearest_sentinel2_waterline_accepted,preview,imagery_coverage_status
87-VSD,87-VSD Image.tif,1UcIeBZLBPNqOrDtdhjBRkmLny_Uyxxmo,6203106354,EPSG:32647,62371,29735,4,1.3856,1.0,0.999975,PASS,READY_FOR_ORTHOMOSAIC_BASELINE_AND_SATELLITE_ALIGNMENT,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE,False,,,NO_VERIFIED_COMPLETION_DATE,2025-02-14,2025,51,True,data/project_drone_orthomosaic/previews/87-VSD.webp,COMPLETE_GE_95PCT
91-STC,91-STC.tif,1WCTYAshsByl92BSsei3Qie1h95Uqqn1g,1252277898,EPSG:32647,24183,22935,4,5.0,0.999009,0.926846,PASS,READY_WITH_PARTIAL_COVERAGE_CAVEAT,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE,False,2024-09-24,92,PROVISIONAL_POST_COMPLETION_IF_FOLDER_DATE_IS_FLIGHT_DATE,2025-02-14,2025,51,True,data/project_drone_orthomosaic/previews/91-STC.webp,PARTIAL_USABLE_90_TO_95PCT
92-STC,92-STC Image.tif,1tAzulbMfQewiB6ukuh3kDfpKIF_llams,3395885120,EPSG:32647,55496,23192,4,1.8972,0.998083,0.980152,PASS,READY_FOR_ORTHOMOSAIC_BASELINE_AND_SATELLITE_ALIGNMENT,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE,False,,,NO_VERIFIED_COMPLETION_DATE,2025-02-14,2025,51,True,data/project_drone_orthomosaic/previews/92-STC.webp,COMPLETE_GE_95PCT
93-STC,93-STC.tif,1CoekWHruzqvRtWYHtNlF5ZCXPsh4HgkA,486664764,EPSG:32647,14601,13105,4,5.0,1.0,0.98812,PASS,READY_FOR_ORTHOMOSAIC_BASELINE_AND_SATELLITE_ALIGNMENT,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE,False,,,NO_VERIFIED_COMPLETION_DATE,2025-02-14,2025,51,True,data/project_drone_orthomosaic/previews/93-STC.webp,COMPLETE_GE_95PCT
94-STC,94 stc 2.tif,1ZCK1iApfILDGU0EqViOXqeSYdgMMEl24,1551437558,EPSG:32647,28225,20059,4,1.8154,1.0,1.0,PASS,READY_FOR_ORTHOMOSAIC_BASELINE_AND_SATELLITE_ALIGNMENT,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE,False,,,NO_VERIFIED_COMPLETION_DATE,2025-02-14,2025,51,True,data/project_drone_orthomosaic/previews/94-STC.webp,COMPLETE_GE_95PCT
95-STC,95 stc.tif,1p0XV4l8dldKWeLa1rWefPbYqvgZApp2O,99435384,EPSG:32647,5599,4657,4,7.8259,1.0,1.0,PASS,READY_FOR_ORTHOMOSAIC_BASELINE_AND_SATELLITE_ALIGNMENT,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE,False,,,NO_VERIFIED_COMPLETION_DATE,2025-02-14,2025,51,True,data/project_drone_orthomosaic/previews/95-STC.webp,COMPLETE_GE_95PCT
96-STC,96 stc.tif,1boyGxi0ykVf9ac9tRoZsCYJhvarqNVPN,479073764,EPSG:32647,15778,15050,4,1.8585,1.0,1.0,PASS,READY_FOR_ORTHOMOSAIC_BASELINE_AND_SATELLITE_ALIGNMENT,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE,False,,,NO_VERIFIED_COMPLETION_DATE,2025-02-14,2025,51,True,data/project_drone_orthomosaic/previews/96-STC.webp,COMPLETE_GE_95PCT
97-STC,97 stc.tif,1EX80BASMRr31KRt1ceh6vUT7-XkzDpM6,75535494,EPSG:32647,5605,4672,4,7.7922,1.0,1.0,PASS,READY_FOR_ORTHOMOSAIC_BASELINE_AND_SATELLITE_ALIGNMENT,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE,False,2024-09-20,96,PROVISIONAL_POST_COMPLETION_IF_FOLDER_DATE_IS_FLIGHT_DATE,2025-02-14,2025,51,True,data/project_drone_orthomosaic/previews/97-STC.webp,COMPLETE_GE_95PCT
98-STC,98-STC.tif,1paHQM-DskSoX9RMcQdaBcOIOEH-TCMG9,839213726,EPSG:32647,22068,18735,4,1.5132,1.0,1.0,PASS,READY_FOR_ORTHOMOSAIC_BASELINE_AND_SATELLITE_ALIGNMENT,2024-12-25,FOLDER_LABEL_UNVERIFIED_AS_FLIGHT_DATE,False,2024-09-15,101,PROVISIONAL_POST_COMPLETION_IF_FOLDER_DATE_IS_FLIGHT_DATE,2025-02-14,2025,51,True,data/project_drone_orthomosaic/previews/98-STC.webp,COMPLETE_GE_95PCT
