scene_id,acquisition_datetime_bangkok,stage,phase_0_1,previous_extrema_datetime_bangkok,previous_height_m_llw,next_extrema_datetime_bangkok,next_height_m_llw,datum,station_name,source_url,source_status,qa_status
S2B_MSIL2A_20230210T033859_R061_T47PNL_20230211T035717,2023-02-10T10:38:59.024000+07:00,RISING,0.5354,2023-02-10T06:37:00+07:00,1.33,2023-02-10T14:09:00+07:00,2.33,LOWEST_LOW_WATER,Ko Prap,https://www.hydro.navy.mi.th/tide66/KP2023.pdf,OFFICIAL_ARCHIVE_INDEXED_BUT_CURRENT_CI_DOWNLOAD_RETURNS_404,official_pdf_selected_scene_bracket_transcription
S2B_MSIL2A_20230312T033539_R061_T47PNL_20230312T103608,2023-03-12T10:35:39.025000+07:00,RISING,0.3558,2023-03-12T08:29:00+07:00,1.07,2023-03-12T14:25:00+07:00,1.61,LOWEST_LOW_WATER,Ko Prap,https://www.hydro.navy.mi.th/tide66/KP2023.pdf,OFFICIAL_ARCHIVE_INDEXED_BUT_CURRENT_CI_DOWNLOAD_RETURNS_404,official_pdf_selected_scene_bracket_transcription
S2A_MSIL2A_20230406T033541_R061_T47PNL_20230406T112615,2023-04-06T10:35:41.024000+07:00,RISING,0.7138,2023-04-06T06:13:00+07:00,1.06,2023-04-06T12:21:00+07:00,1.81,LOWEST_LOW_WATER,Ko Prap,https://www.hydro.navy.mi.th/tide66/KP2023.pdf,OFFICIAL_ARCHIVE_INDEXED_BUT_CURRENT_CI_DOWNLOAD_RETURNS_404,official_pdf_selected_scene_bracket_transcription
